FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1,,
91,30036.73711,2,29922132.69,0.123453572,0.230368324,,
92,30036.76378,1,29922137.67,0.093404963,0.179273525,,
93,30036.78767,2,29922142.66,0.122747235,0.236693488,,
94,30036.81258,1,29922147.65,0.093340553,0.178591238,,
95,30036.83754,2,29922152.63,0.123153992,0.241664395,,
96,30036.86312,1,29922157.61,0.093087158,0.177422877,,
97,30036.88785,2,29922163.05,0.123026829,0.243603859,,
98,30036.91291,1,29922163.84,0.093333201,0.177596342,,
99,30036.93851,2,29922163.84,0.123197588,0.24460788,,
100,30036.96321,1,29922163.84,0.093517112,0.178480797,,
101,30036.98799,2,29922182.71,0.123519329,0.24587372,,
102,30037.01423,1,29922187.7,0.093688803,0.178946236,,
103,30037.03849,2,29922192.69,0.123341838,0.245160284,,
104,30037.06323,1,29922197.68,0.093779827,0.179912629,,
105,30037.08828,2,29922202.66,0.123790535,0.245285869,,
106,30037.11386,1,29922207.65,0.093899949,0.179560011,,
107,30037.13862,2,29922213,0.124123977,0.245880201,,
108,30037.16372,1,29922213.7,0.094477052,0.179157265,,
109,30037.18871,2,29922213.7,0.123855049,0.24698858,,
110,30037.21441,1,29922213.7,0.09477249,0.178796182,,
111,30037.23887,2,29922232.79,0.124474091,0.246700772,,
112,30037.26408,1,29922237.74,0.094557306,0.17957456,,
113,30037.28957,2,29922242.73,0.12470077,0.245584656,,
114,30037.31432,1,29922247.72,0.094752607,0.179818919,,
115,30037.33912,2,29922252.7,0.125077083,0.243846102,,
116,30037.36467,1,29922257.69,0.094322343,0.180098791,,
117,30037.38964,2,29922263.01,0.124760623,0.241740116,,
118,30037.41443,1,29922263.46,0.094373395,0.180243952,,
119,30037.43955,2,29922263.46,0.125120057,0.240619437,,
120,30037.46554,1,29922263.46,0.095289532,0.179367301,,
121,30037.49007,2,29922282.32,0.125898572,0.238573896,,
122,30037.51488,1,29922287.3,0.094758199,0.178992793,,
123,30037.53996,2,29922292.29,0.125689083,0.238308772,,
124,30037.56535,1,29922297.27,0.095273274,0.179829037,,
125,30037.59,2,29922302.27,0.125781246,0.237274461,,
126,30037.61514,1,29922307.26,0.094941489,0.179027182,,
127,30037.64108,2,29922313.06,0.125368378,0.237407123,,
128,30037.66537,1,29922313.64,0.094814325,0.180361138,,
