fm_fp,ts_fp,LedState,ts,G0,G1,Unnamed: 6,Unnamed: 7,G0-pks,G1-pks,event,event_type
16651,30452.15977,2,30004746.43,-0.132070031699354,0.8187308170220541,,,False,False,,
16653,30452.20933,2,30004756.41,0.0385923697296246,0.8022490156813692,,,False,False,,
16655,30452.25961,2,30004766.38,-0.0565862102508947,0.769356899877424,,,False,False,,
16657,30452.3094,2,30004776.35,0.013249407591427,0.7110436964764155,,,False,False,,
16659,30452.36047,2,30004786.32,-0.1352473253175987,0.6041987022683943,,,False,False,,
16661,30452.41018,2,30004796.3,-0.0419218158439163,0.5203235426020376,,,False,False,,
16663,30452.45993,2,30004806.27,-0.1570319876789267,0.410977254948776,,,False,False,,
16665,30452.51025,2,30004816.24,-0.1683691406382536,0.3336797370123074,,,False,False,,
16667,30452.56014,2,30004826.22,-0.2628527061505177,0.2642446571874927,,,False,False,,
16669,30452.61043,2,30004836.19,-0.4585799574145037,0.1833382986599988,,,False,False,,
16671,30452.66112,2,30004846.16,-0.356080446959548,0.1425020009753306,,,False,False,,
16673,30452.71076,2,30004856.14,-0.5388810368235968,0.1008712205023691,,,False,False,,
16675,30452.76125,2,30004866.11,-0.4811380105854716,0.0474605445383789,,,False,False,,
16677,30452.81124,2,30004876.08,-0.4256743917263081,-0.021547924254198,,,False,False,,
16679,30452.862,2,30004886.05,-0.2770844721049976,0.0026621348341522,,,False,False,,
16681,30452.91136,2,30004896.03,0.0299313509409345,-0.0277788035354128,,,False,False,,
16683,30452.96156,2,30004906.0,0.4695476720613025,-0.0210367857156954,,,False,False,,
16685,30453.01213,2,30004915.97,0.5218422399946324,0.0216671063878316,,,False,False,,
16687,30453.06208,2,30004925.95,0.7206926676083573,0.052595564788988,,,False,False,,
16689,30453.11204,2,30004935.92,0.828390436553693,0.0310882573739801,,,False,False,,
16691,30453.16227,2,30004945.89,0.8632827467715589,0.010611466067821,,,False,False,,
16693,30453.21252,2,30004955.87,0.9511877130760396,0.0079703229326344,,,False,False,,
16695,30453.26245,2,30004965.84,0.9942529760683227,-0.0286671440274963,,,False,False,,
16697,30453.31398,2,30004975.81,0.964318422696381,-0.1176449636752184,,,False,False,,
16699,30453.36323,2,30004985.78,0.9753039368025342,-0.1115793938258742,,,False,False,,
16701,30453.41349,2,30004995.76,0.9663020225100906,-0.1491157084219967,,,False,False,,
16703,30453.46339,2,30005005.73,0.9871004490750565,-0.1808732973772551,,,False,False,,
16705,30453.51357,2,30005015.7,1.0694176313310184,-0.1778401221579854,,,False,False,,
16707,30453.56375,2,30005025.68,0.9054090571026976,-0.124023709577127,,,False,False,,
16709,30453.61382,2,30005035.65,0.7906046419917359,-0.0964501728185251,,,False,False,,
16711,30453.66487,2,30005045.62,0.8238011517095852,-0.0906706524299909,,,False,False,,
16713,30453.71461,2,30005055.6,0.6989057088693913,-0.1135263372002347,,,False,False,,
16715,30453.76433,2,30005065.57,0.5397619801827305,-0.1173842557756563,,,False,False,,
16717,30453.81524,2,30005075.54,0.3705548744193884,-0.1274158973063246,,,False,False,,
16719,30453.86455,2,30005085.51,0.2249769860656059,-0.1597137471327312,,,False,False,,
16721,30453.91505,2,30005095.49,0.1515371896445684,-0.1268698530943491,,,False,False,,
16723,30453.96508,2,30005105.46,-0.0100252728171887,-0.0893685090498839,,,False,False,,
16725,30454.01507,2,30005115.43,0.0270634879382579,-0.0785639051823904,,,False,False,,
16727,30454.06528,2,30005125.41,-0.0478219114939279,-0.0792624300318509,,,False,False,,
16729,30454.11532,2,30005135.38,0.1150844265318027,-0.1039748705319749,,,False,False,,
16731,30454.16561,2,30005145.35,0.2141088448410207,-0.047666422775676,,,False,False,,
16733,30454.21672,2,30005155.33,0.2893652565618802,-0.0776446655608902,,,False,False,,
16735,30454.26616,2,30005165.3,0.3053544002163398,-0.0148992929694465,,,False,False,,
16737,30454.31635,2,30005175.27,0.451915098547728,-0.0337876085885045,,,False,False,,
16739,30454.36652,2,30005185.24,0.4538935793026684,-0.0616777878653489,,,False,False,,
16741,30454.41672,2,30005195.22,0.4299357846298814,-0.0409726416110249,,,False,False,,
16743,30454.4668,2,30005205.19,0.510223748902069,-0.086739353588978,,,False,False,,
16745,30454.51757,2,30005215.16,0.3941404332631428,-0.1062859385667485,,,False,False,,
16747,30454.56699,2,30005225.14,0.4862152212124114,-0.1216516585531883,,,False,False,,
16749,30454.61793,2,30005235.11,0.296631698517211,-0.1163627876056439,,,False,False,,
16751,30454.66746,2,30005245.08,0.2582463374899041,-0.1441939498714977,,,False,False,,
16753,30454.71786,2,30005255.06,0.1559790567499068,-0.1433219789982873,,,False,False,,
16755,30454.76769,2,30005265.03,0.095465648501974,-0.1795467774789093,,,False,False,,
16757,30454.81784,2,30005275.0,0.103921282587346,-0.1920572443763771,,,False,False,,
16759,30454.86892,2,30005284.97,0.0867187552160379,-0.1600216770053959,,,False,False,,
16761,30454.91859,2,30005294.95,0.1878002993788174,-0.1191159303949603,,,False,False,,
16763,30454.9689,2,30005304.92,0.3295237970628576,-0.0660579994062114,,,False,False,,
16765,30455.01875,2,30005314.89,0.3014517373136612,-0.0502693364207967,,,False,False,,
16767,30455.06872,2,30005324.87,0.3233065034888271,-0.038829534713136,,,False,False,,
16769,30455.1191,2,30005334.84,0.388388662978919,-0.0235856467989003,,,False,False,,
16771,30455.16996,2,30005344.81,0.3245115765117793,-0.0806467903461733,,,False,False,,
16773,30455.21951,2,30005354.79,0.4250927284017251,-0.109953509076663,,,False,False,,
16775,30455.26963,2,30005364.76,0.4244860321118614,-0.0735328944358279,,,False,False,,
16777,30455.3198,2,30005374.73,0.3106821184634948,-0.0928391113799079,,,False,False,,
16779,30455.37011,2,30005384.7,0.3433505766311472,-0.1124177158370882,,,False,False,,
16781,30455.4204,2,30005394.68,0.4444600364267874,-0.1308206250575267,,,False,False,,
16783,30455.47124,2,30005404.65,0.4816320074112163,-0.1083953851405356,,,False,False,,
16785,30455.5211,2,30005414.62,0.4155034304803969,-0.1480068037847439,,,False,False,,
16787,30455.5711,2,30005424.6,0.3356141177201103,-0.2051769947392154,,,False,False,,
16789,30455.62125,2,30005434.57,0.3456264870317476,-0.237289245225186,,,False,False,,
16791,30455.67156,2,30005444.54,0.2901169769555607,-0.2946001812480328,,,False,False,,
16793,30455.72357,2,30005454.52,0.4493262145510125,-0.3142288551170306,,,False,False,,
16795,30455.77123,2,30005464.49,0.4307057298222232,-0.3690340235704306,,,False,False,,
16797,30455.82207,2,30005474.46,0.2407885165182052,-0.4833066294242346,,,False,False,,
16799,30455.8715,2,30005484.43,0.2601968948870371,-0.5138891135848458,,,False,False,,
16801,30455.92287,2,30005494.41,0.3174397790261741,-0.5409989175929065,,,False,False,,
16803,30455.97183,2,30005504.38,0.1796453102009449,-0.5839924102965895,,,False,False,,
16805,30456.02252,2,30005514.35,0.2630190949177077,-0.5762842814029034,,,False,False,,
16807,30456.07208,2,30005524.33,0.1188033068332998,-0.6063084829125743,,,False,False,,
16809,30456.12265,2,30005534.3,0.2456544113046765,-0.6359014173315761,,,False,False,,
16811,30456.17254,2,30005544.27,0.0782544945997901,-0.7440775659180748,,,False,False,,
16813,30456.22355,2,30005554.25,0.0966341712675462,-0.8048023851781752,,,False,False,,
16815,30456.27284,2,30005564.22,0.041764104849839,-0.8122063212821301,,,False,False,,
16817,30456.32317,2,30005574.19,-0.023975493304853,-0.8488173918657922,,,False,False,,
16819,30456.37371,2,30005584.16,-0.0130734860680061,-0.8581688128718705,,,False,False,,
16821,30456.42335,2,30005594.14,0.1060218340830215,-0.8577603100831278,,,False,False,,
16823,30456.47446,2,30005604.11,0.0067289659576523,-0.9002455065414586,,,False,False,,
16825,30456.52424,2,30005614.08,0.2073863071396465,-0.8466705114955397,,,False,False,,
16827,30456.57472,2,30005624.06,0.1095390404473272,-0.8796500499386372,,,False,False,,
16829,30456.6241,2,30005634.03,0.0021287870798024,-0.8822694931323394,,,False,False,,
16831,30456.67416,2,30005644.0,0.1603928071714403,-0.8878396178440955,,,False,False,,
16833,30456.72534,2,30005653.98,0.1133061708094455,-0.876577304628319,,,False,False,,
16835,30456.77473,2,30005663.95,0.2155831103602811,-0.8043495959313334,,,False,False,,
16837,30456.82481,2,30005673.92,0.2822219995950207,-0.6692589377376763,,,False,False,,
16839,30456.8752,2,30005683.89,0.2172050648839568,-0.6194563583886507,,,False,False,,
16841,30456.92525,2,30005693.87,0.3716605864858662,-0.5873169565226128,,,False,False,,
16843,30456.97535,2,30005703.84,0.3282157382690156,-0.5667896188263988,,,False,False,,
16845,30457.02537,2,30005713.81,0.3592442266072259,-0.5905586217251177,,,False,False,,
16847,30457.0756,2,30005723.79,0.3125189215235667,-0.5887249369437336,,,False,False,,
16849,30457.12571,2,30005733.76,0.3024050650386717,-0.5747072861180755,,,False,False,,
16851,30457.17601,2,30005743.73,0.4021523999311842,-0.566481980094651,,,False,False,,
16853,30457.22628,2,30005753.71,0.3602919407844035,-0.567235816819393,,,False,False,,
16855,30457.27634,2,30005763.68,0.3914036470469364,-0.6330996438151599,,,False,False,,
16857,30457.32676,2,30005773.65,0.3650552891555566,-0.6564874203806107,,,False,False,,
16859,30457.37668,2,30005783.62,0.3218050646176173,-0.6772604796173494,,,False,False,,
16861,30457.42684,2,30005793.6,0.3334020819639495,-0.7030043012323262,,,False,False,,
16863,30457.47707,2,30005803.57,0.2197927812367312,-0.77412949582674,,,False,False,,
16865,30457.52726,2,30005813.54,0.2738386872641941,-0.7554680139308712,,,False,False,,
