FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G0-pks
427,4515.885952,2,64553881.82,-0.0017827507443568466,
429,4515.919296,2,64553915.01,-0.001494835378045463,
431,4515.952608,2,64553948.42,-0.0015979175195785615,
433,4515.985952,2,64553981.75,-0.0013041981648973834,
435,4516.019264,2,64554015.07,-0.0014803403099479077,
437,4516.052608,2,64554048.27,-0.0015958849506807413,
439,4516.085952,2,64554081.68,-0.0017047930830511593,
441,4516.119264,2,64554114.98,-0.0014002957030192428,
443,4516.152608,2,64554148.35,-0.001546566806549566,
445,4516.18592,2,64554181.77,-0.0014570813896115746,
447,4516.219264,2,64554215.01,-0.0015469104481791417,
449,4516.252608,2,64554248.49,-0.0015089009782310835,
451,4516.28592,2,64554281.86,-0.0012226839757506248,
453,4516.319264,2,64554315.07,-0.0015839784367257352,
455,4516.352608,2,64554348.43,-0.0011624553571490497,
457,4516.38592,2,64554381.76,-0.0014482137330177822,
459,4516.419264,2,64554415.1,-0.000881424560333785,
461,4516.452576,2,64554448.4,-0.00100946383510361,
463,4516.48592,2,64554481.86,-0.0010827165533383969,
465,4516.519264,2,64554514.96,-0.0007915437110538326,
467,4516.552576,2,64554548.4,-0.0012250833042702393,
469,4516.58592,2,64554581.72,-0.0007537763290125926,
471,4516.619264,2,64554615.08,-0.0008602487813105519,
473,4516.652576,2,64554648.37,-0.0006670456571981134,
475,4516.68592,2,64554681.7,-0.0004622239527140304,
477,4516.719232,2,64554715.07,-0.0007181306639017226,
479,4516.752576,2,64554748.43,-0.000671041786808952,
481,4516.78592,2,64554781.9,-0.0006845563174882816,
483,4516.819232,2,64554814.99,-0.00024232825199665964,
485,4516.852576,2,64554848.55,-0.00042187758639582185,
487,4516.88592,2,64554881.84,-0.00028680731675180884,
489,4516.919232,2,64554915.19,-0.00013596743913535034,
491,4516.952576,2,64554948.49,-0.000237493949621706,
493,4516.98592,2,64554981.86,0.00019226515570926195,
495,4517.019264,2,64555015.14,-5.786211922666207e-05,
497,4517.052608,2,64555048.46,-2.5745770518392774e-05,
499,4517.085952,2,64555081.82,0.00019729820574070772,
501,4517.119264,2,64555115.17,-0.00012091018654733152,
503,4517.152608,2,64555148.47,0.00021917705651509564,
505,4517.185952,2,64555181.95,0.00030357793882110004,
507,4517.219264,2,64555215.07,-0.0005326455357408215,
509,4517.252608,2,64555248.45,-0.0003486343632865749,
511,4517.28592,2,64555281.84,-0.0003887645399365293,
513,4517.319264,2,64555315.25,-0.00037825806181571164,
515,4517.352576,2,64555348.61,-0.00027810092505341916,
517,4517.38592,2,64555381.98,-0.0005241151257836217,
519,4517.419264,2,64555415.28,1.5178339855394934e-05,
521,4517.452576,2,64555448.61,-0.0006151955242792786,
523,4517.48592,2,64555481.93,-0.0005258427143348815,
525,4517.519232,2,64555515.23,-0.00045973822646308907,
527,4517.552576,2,64555548.6,-0.0005795870568202216,
529,4517.58592,2,64555582.03,-0.00023124220156680447,
531,4517.619232,2,64555615.13,-0.0007943916568680306,
533,4517.652576,2,64555648.46,-0.0004792584188933191,
535,4517.68592,2,64555681.89,1.850151618324955e-05,
537,4517.719232,2,64555715.14,-0.00043590984781661027,
539,4517.752576,2,64555748.51,-0.0004926885070757371,
541,4517.785888,2,64555782.13,-0.0012061084577813103,
543,4517.819232,2,64555815.3,-0.0009358196961250266,
545,4517.852576,2,64555848.76,-0.0010141922183029284,
547,4517.885888,2,64555882.04,-0.001328326020515417,
549,4517.919232,2,64555915.28,-0.0008886990989673202,
551,4517.952576,2,64555948.57,-0.001179595449867888,
553,4517.985888,2,64555982.03,-0.0006893370694307788,
555,4518.019232,2,64556015.26,-0.0003717499538739011,
557,4518.052544,2,64556048.69,-0.0004302180994197359,
559,4518.085888,2,64556081.89,-0.0003799415022948775,
561,4518.119232,2,64556115.1,-0.0006144051587305688,
563,4518.152544,2,64556148.51,-0.0006869960649622218,
565,4518.185888,2,64556181.91,-0.0008010962172296868,
567,4518.219232,2,64556215.48,-0.0011434876117771067,
569,4518.252544,2,64556248.56,-0.0013970582448530541,
571,4518.285888,2,64556282.02,-0.00195446111271037,
573,4518.319232,2,64556315.33,-0.0022595062116061958,
575,4518.352544,2,64556348.71,-0.0017883765378021443,
577,4518.385888,2,64556382.0,-0.0016634170875640293,
579,4518.4192,2,64556415.37,-0.0014039778571620642,
581,4518.452544,2,64556448.68,-0.0010465868428707129,
583,4518.485888,2,64556482.14,-0.0011009460409687373,
585,4518.5192,2,64556515.38,-0.000680470447739303,
587,4518.552544,2,64556548.47,-0.00024256505946985626,
589,4518.585888,2,64556582.07,-7.943887245202494e-05,
591,4518.6192,2,64556615.24,0.0005626741170182414,
593,4518.652544,2,64556648.56,0.00046845191264052385,
595,4518.685856,2,64556681.98,0.0004979165181103369,
597,4518.7192,2,64556715.24,-0.0003816220628811949,
599,4518.752544,2,64556748.66,2.6379173352897994e-05,
601,4518.785856,2,64556782.02,-0.00023886376950484067,
603,4518.8192,2,64556815.21,0.00019901611222399376,
605,4518.852512,2,64556848.59,-0.00015422817778652786,
