FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1,Unnamed: 6,Unnamed: 7,G0-pks,G1-pks
135,30037.84091,2,29922352.66,0.00435807934051223,0.0036279342101059042,,,,
137,30037.89125,2,29922362.63,0.00375845822338787,0.0021483444948399155,,,,
139,30037.94228,2,29922363.58,0.0037667906575563764,0.0010531156228727467,,,,
141,30037.99177,2,29922382.66,0.003967412653233984,0.0009130355944344248,,,,
143,30038.042,2,29922392.63,0.0036265432206256526,-9.93975902447708e-05,,,,
145,30038.0922,2,29922402.64,0.004150750369925502,0.0006552250690652073,,,,
147,30038.14305,2,29922413.01,0.004238470111316353,0.0009989655725947955,,,,
149,30038.19263,2,29922413.64,0.004726518454970449,0.003005405920573856,,,,
151,30038.24243,2,29922432.72,0.005367816411048679,0.005837441113232866,,,,
153,30038.29292,2,29922442.69,0.005871274989700984,0.006965972150801164,,,,
