FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1,Unnamed: 6,Unnamed: 7,G0-pks,G1-pks
76,30036.36077,1,29922057.66,0.093814621,0.181235144,,,,
78,30036.4114,1,29922063.79,0.09364966,0.181781463,,,,
80,30036.46111,1,29922063.79,0.093843408,0.180241637,,,,
82,30036.51224,1,29922087.7,0.093892596,0.180332371,,,,
84,30036.56156,1,29922097.67,0.093750417,0.18129096,,,,
86,30036.61206,1,29922107.68,0.093054953,0.181034168,,,,
88,30036.66248,1,29922113.73,0.093528399,0.179833137,,,,
90,30036.71219,1,29922113.73,0.093635887,0.178955759,,,,
92,30036.76378,1,29922137.67,0.093404963,0.179273525,,,,
94,30036.81258,1,29922147.65,0.093340553,0.178591238,,,,
96,30036.86312,1,29922157.61,0.093087158,0.177422877,,,,
98,30036.91291,1,29922163.84,0.093333201,0.177596342,,,,
100,30036.96321,1,29922163.84,0.093517112,0.178480797,,,,
102,30037.01423,1,29922187.7,0.093688803,0.178946236,,,,
104,30037.06323,1,29922197.68,0.093779827,0.179912629,,,,
106,30037.11386,1,29922207.65,0.093899949,0.179560011,,,,
108,30037.16372,1,29922213.7,0.094477052,0.179157265,,,,
110,30037.21441,1,29922213.7,0.09477249,0.178796182,,,,
112,30037.26408,1,29922237.74,0.094557306,0.17957456,,,,
114,30037.31432,1,29922247.72,0.094752607,0.179818919,,,,
116,30037.36467,1,29922257.69,0.094322343,0.180098791,,,,
118,30037.41443,1,29922263.46,0.094373395,0.180243952,,,,
120,30037.46554,1,29922263.46,0.095289532,0.179367301,,,,
122,30037.51488,1,29922287.3,0.094758199,0.178992793,,,,
124,30037.56535,1,29922297.27,0.095273274,0.179829037,,,,
126,30037.61514,1,29922307.26,0.094941489,0.179027182,,,,
128,30037.66537,1,29922313.64,0.094814325,0.180361138,,,,
130,30037.71626,1,29922313.64,0.094736142,0.180912087,,,,
132,30037.76604,1,29922337.7,0.094539494,0.181288777,,,,
134,30037.81614,1,29922347.72,0.094890023,0.181859103,,,,
136,30037.86607,1,29922357.64,0.094955572,0.182376589,,,,
138,30037.9167,1,29922363.58,0.095089052,0.18118905,,,,
140,30037.96636,1,29922363.58,0.094672664,0.18036385,,,,
142,30038.01656,1,29922387.65,0.094427553,0.179167912,,,,
144,30038.06673,1,29922397.62,0.094707665,0.178774028,,,,
146,30038.11731,1,29922407.62,0.094135636,0.178863835,,,,
148,30038.16705,1,29922413.64,0.094454581,0.179741875,,,,
150,30038.21746,1,29922413.64,0.093990351,0.180568,,,,
152,30038.26752,1,29922437.7,0.094325967,0.179700145,,,,
154,30038.31777,1,29922447.68,0.09460028,0.178971697,,,,
156,30038.36762,1,29922458.64,0.094311366,0.17942358,,,,
158,30038.4182,1,29922464.01,0.094573563,0.179656101,,,,
160,30038.46903,1,29922464.01,0.094512156,0.180036428,,,,
162,30038.51835,1,29922487.73,0.094674632,0.179821234,,,,
164,30038.56865,1,29922497.71,0.094388617,0.179911835,,,,
166,30038.61892,1,29922507.68,0.094490099,0.180042645,,,,
168,30038.66876,1,29922513.97,0.09446069,0.179371666,,,,
170,30038.71953,1,29922513.97,0.094833897,0.179871957,,,,
172,30038.76927,1,29922537.75,0.094753332,0.179569137,,,,
174,30038.81966,1,29922547.72,0.094460897,0.180786634,,,,
176,30038.86941,1,29922557.69,0.093919002,0.180296064,,,,
178,30038.91978,1,29922563.56,0.093728568,0.179643007,,,,
180,30038.96973,1,29922563.56,0.094451888,0.180065725,,,,
182,30039.02026,1,29922587.73,0.093344592,0.17928986,,,,
184,30039.07113,1,29922597.7,0.093770817,0.178665901,,,,
186,30039.12072,1,29922607.68,0.093836885,0.178276183,,,,
188,30039.17046,1,29922617.16,0.093611035,0.176700513,,,,
190,30039.2207,1,29922628.13,0.094005262,0.177989102,,,,
192,30039.27109,1,29922638.11,0.093771025,0.17741547,,,,
194,30039.32147,1,29922646.61,0.093847033,0.177357208,,,,
196,30039.37111,1,29922646.61,0.093599954,0.177959409,,,,
