FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,PFC,BLA,Unnamed: 6,Unnamed: 7,PFC-pks,BLA-pks
10761,30304.4034,2,29975375.95,0.6331819293440587,-2.6076969394447658,,,False,False
10763,30304.45361,2,29975385.92,0.5703300956771372,-2.6539505286401215,,,False,False
10765,30304.50432,2,29975395.89,0.5021981835804554,-2.5999510735820004,,,False,False
10767,30304.55436,2,29975405.87,0.4903272628415396,-2.606263542854307,,,False,False
10769,30304.60403,2,29975415.84,0.45086545005638556,-2.530273177704211,,,False,False
10771,30304.65452,2,29975425.81,0.6073232879795151,-2.381016198136161,,,False,False
10773,30304.70493,2,29975435.79,0.47359142853650815,-2.2642158846415605,,,False,False
10775,30304.75447,2,29975445.76,0.5560187908039458,-2.2016818496306936,,,False,False
10777,30304.80535,2,29975455.73,0.6035313515247765,-2.175918652962109,,,False,False
10779,30304.85495,2,29975465.7,0.7134361216529825,-2.117998375899684,,,False,False
10781,30304.90531,2,29975475.68,0.6956042131707281,-2.086944340661206,,,False,False
10783,30304.95574,2,29975485.65,0.8318227563139159,-2.0157874981766595,,,False,False
10785,30305.00608,2,29975495.62,1.0628790474644476,-1.859235632212631,,,False,False
10787,30305.05553,2,29975505.6,1.2814736184096398,-1.76592207937308,,,False,False
10789,30305.1061,2,29975515.57,1.2266548444638898,-1.648396675989965,,,False,False
10791,30305.15597,2,29975525.54,1.3304566329014258,-1.6097307239833087,,,False,False
10793,30305.20618,2,29975535.52,1.4969631263250613,-1.6936121452035764,,,False,False
10795,30305.25629,2,29975545.49,1.5053597416313027,-1.6978522968022867,,,False,False
10797,30305.307,2,29975555.46,1.5503745342017186,-1.6737882318702737,,,False,False
10799,30305.35658,2,29975565.43,1.4533740673563091,-1.6229444820456331,,,False,False
10801,30305.40698,2,29975575.41,1.3442528842527344,-1.6468836566454956,,,False,False
10803,30305.45711,2,29975585.38,1.63105921190216,-1.704088159275053,,,False,False
10805,30305.50712,2,29975595.35,1.5828258738886511,-1.7157151018289662,,,False,False
10807,30305.55729,2,29975605.33,1.5215918978608256,-1.684585911424615,,,False,False
10809,30305.60769,2,29975615.3,1.5445790437862328,-1.632510125754771,,,False,False
10811,30305.65754,2,29975625.27,1.3802470210531483,-1.5923607464863352,,,False,False
10813,30305.70788,2,29975635.25,1.4527962403485966,-1.655992088339218,,,False,False
10815,30305.75796,2,29975645.22,1.4249156862242935,-1.72047026541372,,,False,False
10817,30305.80813,2,29975655.19,1.332769320529437,-1.8000136388061307,,,False,False
10819,30305.8583,2,29975665.16,1.3186276077542318,-1.8099937269715274,,,False,False
10821,30305.90898,2,29975675.14,1.0808898274745793,-1.8624119322660526,,,False,False
10823,30305.9588,2,29975685.11,1.0463100823048261,-1.9415146878326162,,,False,False
10825,30306.00955,2,29975695.08,0.9668239006913818,-1.9477769992372158,,,False,False
10827,30306.05912,2,29975705.06,0.6672616127204254,-1.9254056472520777,,,False,False
10829,30306.10935,2,29975715.03,0.6552204750637594,-1.8771584262634347,,,False,False
10831,30306.1594,2,29975725.0,0.6310016044153458,-1.974219286786544,,,False,False
10833,30306.21068,2,29975734.98,0.6524558815626087,-1.9725220423976804,,,False,False
10835,30306.25967,2,29975744.95,0.6377464713365648,-2.024553658744246,,,False,False
10837,30306.31022,2,29975754.92,0.513069867853524,-2.0635883526916374,,,False,False
10839,30306.36,2,29975764.89,0.42790641163113274,-2.165922514558706,,,False,False
10841,30306.41101,2,29975774.87,0.588139701918856,-2.206638055742325,,,False,False
10843,30306.46051,2,29975784.84,0.5233005201618165,-2.2629365195981634,,,False,False
10845,30306.51107,2,29975794.81,0.470383593270354,-2.311256001722182,,,False,False
10847,30306.56096,2,29975804.79,0.16505878077915054,-2.3298717181006605,,,False,False
