FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,PFC,BLA,Unnamed: 6,Unnamed: 7,PFC-pks,BLA-pks
10792,30305.18234,1,29975530.53,0.0887608,0.177942744,,,,
10794,30305.23188,1,29975540.5,0.089544182,0.177327183,,,,
10796,30305.28148,1,29975550.47,0.089425717,0.177100548,,,,
10798,30305.33167,1,29975560.45,0.088663771,0.177276063,,,,
10800,30305.38231,1,29975570.42,0.08899421,0.179276964,,,,
10802,30305.43181,1,29975580.39,0.088605574,0.178242985,,,,
10804,30305.48236,1,29975590.37,0.089026208,0.176938391,,,,
10806,30305.53222,1,29975600.34,0.089060484,0.177802014,,,,
10808,30305.58341,1,29975610.31,0.089405524,0.177188504,,,,
10810,30305.63261,1,29975620.29,0.089208772,0.177595482,,,,
10812,30305.68302,1,29975630.26,0.089262931,0.178369826,,,,
10814,30305.73285,1,29975640.23,0.089347741,0.17649127,,,,
10816,30305.78394,1,29975650.2,0.089688846,0.17657334,,,,
10818,30305.83374,1,29975660.18,0.089395893,0.176814393,,,,
10820,30305.88398,1,29975670.15,0.089241909,0.176792173,,,,
10822,30305.93348,1,29975680.12,0.089468691,0.177118602,,,,
10824,30305.98387,1,29975690.1,0.089007257,0.176908103,,,,
10826,30306.03423,1,29975700.07,0.088864354,0.177667104,,,,
10828,30306.08417,1,29975710.04,0.088368954,0.176247242,,,,
10830,30306.13418,1,29975720.02,0.088585899,0.176639142,,,,
10832,30306.18444,1,29975729.99,0.088874191,0.176426064,,,,
10834,30306.23483,1,29975739.96,0.088826453,0.176450202,,,,
10836,30306.28468,1,29975749.93,0.088863215,0.17671579,,,,
10838,30306.33507,1,29975759.91,0.088919237,0.177433127,,,,
10840,30306.38508,1,29975769.88,0.088852652,0.176609449,,,,
10842,30306.43546,1,29975779.85,0.089332001,0.176581343,,,,
10844,30306.48547,1,29975789.83,0.089247087,0.177187512,,,,
10846,30306.53563,1,29975799.8,0.088679821,0.177630996,,,,
10848,30306.58657,1,29975809.77,0.088623903,0.178895777,,,,
10850,30306.63589,1,29975819.75,0.088525941,0.177791697,,,,
10852,30306.68628,1,29975829.72,0.088208446,0.178823164,,,,
10854,30306.73631,1,29975839.69,0.088357874,0.179761648,,,,
10856,30306.78651,1,29975849.66,0.088269543,0.180248713,,,,
10858,30306.83679,1,29975859.64,0.088647513,0.180375754,,,,
10860,30306.88701,1,29975869.61,0.088523663,0.179781091,,,,
10862,30306.93692,1,29975879.58,0.088974638,0.179312808,,,,
10864,30306.98711,1,29975889.56,0.089562511,0.178998018,,,,
10866,30307.03743,1,29975899.53,0.0893757,0.179129291,,,,
10868,30307.08767,1,29975909.5,0.089750771,0.179987557,,,,
10870,30307.13765,1,29975919.48,0.089832474,0.17911613,,,,
10872,30307.18806,1,29975929.45,0.090042791,0.177701823,,,,
10874,30307.23798,1,29975939.42,0.09011093,0.178245828,,,,
10876,30307.28881,1,29975949.39,0.090140028,0.178235908,,,,
10878,30307.33848,1,29975959.37,0.090160221,0.177902006,,,,
10880,30307.38894,1,29975969.34,0.090022806,0.177564665,,,,
10882,30307.43867,1,29975979.31,0.090430806,0.177365276,,,,
10884,30307.48965,1,29975989.29,0.090277133,0.177527697,,,,
10886,30307.53897,1,29975999.26,0.090192219,0.178243447,,,,
10888,30307.5898,1,29976009.23,0.089764854,0.177828731,,,,
10890,30307.63951,1,29976019.21,0.089483292,0.179199457,,,,
10892,30307.69021,1,29976029.18,0.089430791,0.177748777,,,,
10894,30307.74008,1,29976039.15,0.089396515,0.177559969,,,,
10896,30307.78979,1,29976049.12,0.089843037,0.178022698,,,,
10898,30307.84024,1,29976059.1,0.089424785,0.178158401,,,,
10900,30307.89084,1,29976069.07,0.089365345,0.179396994,,,,
10902,30307.94038,1,29976079.04,0.089443217,0.178822899,,,,
10904,30307.99069,1,29976089.02,0.089375183,0.178364867,,,,
10906,30308.04175,1,29976098.99,0.089791674,0.178546003,,,,
10908,30308.09132,1,29976108.96,0.089465067,0.177545023,,,,
10910,30308.14166,1,29976118.94,0.089254129,0.17865737,,,,
10912,30308.19137,1,29976128.91,0.089107704,0.178680979,,,,
10914,30308.24239,1,29976138.88,0.088780061,0.177814182,,,,
10916,30308.29172,1,29976148.85,0.088670087,0.178032948,,,,
10918,30308.34196,1,29976158.83,0.088817444,0.177137714,,,,
10920,30308.39311,1,29976168.8,0.088091017,0.176097055,,,,
10922,30308.44241,1,29976178.77,0.087908245,0.178262824,,,,
10924,30308.49293,1,29976188.75,0.087965614,0.17781901,,,,
10926,30308.54271,1,29976198.72,0.087619228,0.177941685,,,,
10928,30308.59277,1,29976208.69,0.087939415,0.177676825,,,,
10930,30308.64292,1,29976218.67,0.087731169,0.17784295,,,,
10932,30308.69348,1,29976228.64,0.088012523,0.177921052,,,,
10934,30308.74391,1,29976238.61,0.088268611,0.179322133,,,,
10936,30308.79334,1,29976248.58,0.088630323,0.17925071,,,,
10938,30308.84353,1,29976258.56,0.088682307,0.180358427,,,,
10940,30308.894,1,29976268.53,0.088683757,0.179836312,,,,
10942,30308.94394,1,29976278.5,0.088035305,0.178291195,,,,
10944,30308.99405,1,29976288.48,0.088077762,0.178490518,,,,
